country,cluster
Arménie,1
Afghanistan,4
Albanie,1
Algérie,6
Angola,8
Antigua-et-Barbuda,8
Argentine,1
Australie,2
Autriche,2
Bahamas,7
Barbade,7
Bangladesh,4
Bermudes,3
Bolivie (État plurinational de),6
Botswana,6
Brésil,1
Belize,6
Îles Salomon,6
Brunéi Darussalam,2
Bulgarie,1
Myanmar,6
Cameroun,4
Canada,2
Cabo Verde,7
République centrafricaine,4
Sri Lanka,4
Tchad,4
Chili,1
"Chine, continentale",1
Colombie,8
Congo,8
Costa Rica,6
Cuba,1
Chypre,1
Azerbaïdjan,1
Bénin,6
Danemark,2
Dominique,7
République dominicaine,8
Bélarus,1
Équateur,8
Égypte,6
El Salvador,6
Estonie,1
Fidji,6
Finlande,2
France,2
Polynésie française,1
Djibouti,6
Géorgie,1
Gabon,7
Gambie,6
Allemagne,2
Bosnie-Herzégovine,1
Ghana,6
Kiribati,6
Grèce,1
Grenade,7
Guatemala,6
Guinée,4
Guyana,7
Haïti,8
Honduras,6
Chine - RAS de Hong-Kong,3
Hongrie,1
Croatie,1
Islande,2
Inde,4
Indonésie,6
Iran (République islamique d'),6
Iraq,8
Irlande,2
Israël,2
Italie,2
Côte d'Ivoire,4
Kazakhstan,1
Jamaïque,6
Japon,1
Jordanie,5
Kirghizistan,3
Kenya,4
Cambodge,4
République populaire démocratique de Corée,4
République de Corée,1
Koweït,5
Lettonie,1
République démocratique populaire lao,4
Liban,5
Lesotho,6
Libéria,8
Lituanie,1
Chine - RAS de Macao,2
Madagascar,4
Malawi,4
Malaisie,1
Maldives,7
Mali,4
Malte,1
Mauritanie,6
Maurice,7
Mexique,6
Mongolie,6
Maroc,6
Mozambique,4
République de Moldova,1
Namibie,8
Népal,4
Pays-Bas,3
Nouvelle-Calédonie,1
Macédoine du Nord,1
Vanuatu,6
Nouvelle-Zélande,2
Nicaragua,6
Niger,4
Nigéria,4
Norvège,2
Pakistan,4
Panama,6
Tchéquie (la),1
Paraguay,8
Pérou,6
Philippines,6
Pologne,1
Portugal,1
Guinée-Bissau,4
Timor-Leste,6
Zimbabwe,4
Roumanie,1
Rwanda,4
Fédération de Russie,1
Saint-Kitts-et-Nevis,7
Sainte-Lucie,7
Saint-Vincent-et-les Grenadines,7
Sao Tomé-et-Principe,8
Arabie saoudite,5
Sénégal,4
Sierra Leone,4
Slovénie,1
Slovaquie,1
Afrique du Sud,6
Espagne,2
Suriname,7
Tadjikistan,6
Eswatini,4
Suède,2
Suisse,2
Turkménistan,6
"Chine, Taiwan Province de",1
République-Unie de Tanzanie,4
Thaïlande,6
Togo,4
Trinité-et-Tobago,7
Oman,5
Tunisie,6
Turquie,6
Émirats arabes unis,5
Ouganda,4
Royaume-Uni,2
Ukraine,1
États-Unis d'Amérique,2
Burkina Faso,4
Uruguay,1
Ouzbékistan,6
Venezuela (République bolivarienne du),8
Viet Nam,6
Éthiopie,4
Samoa,7
Yémen,8
Zambie,4
Belgique,3
Luxembourg,2
Serbie,1
Monténégro,1
Soudan,4
