contract_id;name;currency
1;AUD;USD
2;CAD;USD
3;CHF;USD
4;EuroFx;USD
5;GBP;USD
6;JPY;USD
7;MXN;USD
9;Bobl;EUR
10;Bund;EUR
11;Schatz;EUR
12;Gilt;GBP
13;US10YR;USD
14;US2YR;USD
15;US5YR;USD
16;USBond;USD
18;JGB;JPY
19;Gold;USD
20;Silver;USD
21;Copper;USD
22;CrudeOil;USD
23;NatGas;USD
24;GasolineRBOB;USD
25;GasOil;USD
26;Brent;USD
27;Euribor1;EUR
28;Euribor2;EUR
29;Euribor3;EUR
30;Euribor4;EUR
31;Eurodollar1;USD
32;Eurodollar2;USD
33;Eurodollar3;USD
34;Eurodollar4;USD
35;EuroSwiss1;CHF
36;EuroSwiss2;CHF
37;ShortSterling1;GBP
38;ShortSterling2;GBP
39;ShortSterling3;GBP
40;ShortSterling4;GBP
43;EuroStoxx;EUR
44;Dax;EUR
48;SMI;CHF
49;MiniDJIA;USD
50;MiniNasdaq;USD
52;MiniSP500;USD
55;Nikkei225;JPY
56;Topix;JPY
58;HangSeng;HKD
59;FTSE;GBP
61;HeatingOil;USD
91;Palladium;USD
92;Platinum;USD
